Text,IsToxic,text_clean,text_stemmed,augmented
Okay but what in the literal fuck do Skittles and tea have to do with lean?,1,"Okay, literal, fuck, bolus, tea, lean.",okay liter fuck skittl tea lean,back_translation
Can someone shoot this black idiot too? That would make me giggle inside :),1,someone shoot black idiot would make giggle inside,someon shoot black idiot would make giggl insid,original
"i never was racist, but this almost makes me to be one... (ofc i dont mean it, but you get the idea)",0,never racist almost make one ofc dont mean get idea,never racist almost make one ofc dont mean get idea,original
this dude is lying his azz off... racist cracka,1,liar guy azz racist cracka,dude lie azz racist cracka,back_translation
You can't shoot tear gas at professional soldiers but members of the public in your own country is absolutely fine!!,1,I can't shoot tear gas soldier professional member public country absolutely fine,cant shoot tear ga profession soldier member public countri absolut fine,back_translation
the people in ferguson have to loot! the oly thing the goverment cares about is the economy! fuck it up n they will make an effort to stop crooked cops!,1,people ferguson loot unique thing government care economy fuck make effort stop police corrupt,peopl ferguson loot oli thing gover care economi fuck make effort stop crook cop,back_translation
is this not what tazers are for,0,tazers,tazer,original
Hahahahaha.  This guy is Ed Bassmaster's character ALWAYS TESTE. Ed Bassmaster has a semi-retarded character who is cross-eyed just like this guy,1,hahahaha boy bassmaster character always teste bassmaster semi-retarded character cross-eyed like boy,hahahahaha guy bassmast charact alway test bassmast semiretard charact crossey like guy,back_translation
pretty woman dang!,0,pretty woman dang,pretti woman dang,original
"Michael Brown, rob a store assaulted the store owner. Then fought with a police officer Darren Wilson in and through the police window went for the officer gun, then was shot and killed. Brown did not have a shirt saying I'm not armed. This is what happens when you do criminal activity, regardless of the color of your skin. A linch mob mentality should not get there way, or public pressure when all the facts support Browns activity of the day. Some wonder if Brown wanted death (suicide) by cop for his family could sue.",1,michael brown rob store assaulted store owner fought police officer darren wilson police window went officer gun shot killed brown shirt saying armed happens criminal activity regardless color skin linch mob mentality get way public pressure fact support brown activity day wonder brown wanted death suicide cop family could sue,michael brown rob store assault store owner fought polic offic darren wilson polic window went offic gun shot kill brown shirt say arm happen crimin activ regardless color skin linch mob mental get way public pressur fact support brown activ day wonder brown want death suicid cop famili could sue,original
the real criminals are on wall street those guys steal more money then any inmate in every Penitentiary every dreamed of stealing,1,real criminal wall street guy steal money inmate every penitentiary every dreamed stealing,real crimin wall street guy steal money inmat everi penitentiari everi dream steal,original
"Fergueson residents are stupid , they complain about crime and when the police shoots a criminal they get all emo and tell the police to leave while rioting , looting and destroying their own community. Where is the logic in this? I think they're just trolling srs.",1,fergueson resident stupid complain crime police shoot criminal get emo tell police leave rioting looting destroying community logic think theyre trolling sr,fergueson resid stupid complain crime polic shoot crimin get emo tell polic leav riot loot destroy commun logic think theyr troll sr,original
PEGGY HUBBARD for PRESIDENT 2016 !!!!,0,peggy hubbard president,peggi hubbard presid,original
ana kasparian is the most beautiful woman in the world,0,ana kasparian beautiful woman world,ana kasparian beauti woman world,original
"""There is blood on the street but you are worried about words"" .... we are ALL getting very tired with the way mainstream media is treating us like idiots who will follow their condescending, irrelevant, distracting, disparaging narrative... Step up CNN",0,blood street worried word getting tired way mainstream medium treating like idiot follow condescending irrelevant distracting disparaging narrative step cnn,blood street worri word get tire way mainstream medium treat like idiot follow condescend irrelev distract disparag narr step cnn,original
"I'd walk right past the cops and pepper spray them all , Boy I can't wait for my free pass to beat a protesters ass.",1,"walk right next to the cop, the guy with pepper spray can't wait, free pass, hit the protester while",walk right past cop pepper spray boy cant wait free pa beat protest as,back_translation
This interviewer is right. This guy should show some respect to the paramilitary police that are killing and getting away with it. Ha!,1,interviewer right guy show respect paramilitary police killing getting away,interview right guy show respect paramilitari polic kill get away,original
"Im a white person who always thought everyone should be treated fairly.
With BLM and creating a bunch of bull and threatening my life and others by making it harder for cops to take out the bad guys, maybe not drawing their weapon fast enough or killing the spirit of being a hero or killing the spirit of NOT putting out 110% and doing JUST enough to comply. (No more rushing into burning houses type of thing) from a few bad cops

And with the neighborhood gangs in my neighborhood having the heat taken off them. Emboldening them.

 And not the spirit of ALL lives matter (A form of racism in itself)

BLM is causing a feeling that Black Lives don't matter.

Peggy gave me hope there is still hope that there is still intelligence in the black community. 
So maybe we can still all live together.
I'm one less white guy willing to join the KKK because of Peggy, NOT BLM.",1,white person always thought everyone treated fairly blm creating bunch bull threatening life others making harder cop take bad guy maybe drawing weapon fast enough killing spirit hero killing spirit putting enough comply rushing burning house type thing bad cop neighborhood gang neighborhood heat taken emboldening spirit life matter form racism blm causing feeling black life dont matter peggy gave hope still hope still intelligence black community maybe still live together one less white guy willing join kkk peggy blm,white person alway thought everyon treat fairli blm creat bunch bull threaten life other make harder cop take bad guy mayb draw weapon fast enough kill spirit hero kill spirit put enough compli rush burn hous type thing bad cop neighborhood gang neighborhood heat taken embolden spirit life matter form racism blm caus feel black life dont matter peggi gave hope still hope still intellig black commun mayb still live togeth one less white guy will join kkk peggi blm,original
"Those dumb fucks, screwing fellow citizens over instead of protesting against the police. 🤦‍♂️",1,fool fucking a fellow citizen instead of protesting against the police,dumb fuck screw fellow citizen instead protest polic,back_translation
"People say blacks play the victim. 

But according to the comments its our fault that  the elected officals are racists. 

Whites had a good thing going in Missouri but they had to be racist.  

All white folks do is point fingers.  
Take these punk bitches out of power.  

We goin back to racism. 

Deport everyone else.  

 ",1,people say black play victim according comment fault elected officals racist white good thing going missouri racist white folk point finger take punk bitch power goin back racism deport everyone else,peopl say black play victim accord comment fault elect offic racist white good thing go missouri racist white folk point finger take punk bitch power goin back racism deport everyon els,original
"moly loooooooooooooooooooooooves cops.  there are other witnesses.  also clueless about the 'riots'.  also about the decades of police violence and repression in the area....also, ignorant of the effects of marijuana.",0,moly loooooooooooooooooooooooves cop witness also clueless riot also decade police violence repression areaalso ignorant effect marijuana,moli looooooooooooooooooooooov cop wit also clueless riot also decad polic violenc repress areaalso ignor effect marijuana,original
"Omg, these dumbass protesters are preventing cops to do their job because of their whining. I really really hate people who protest like this.

Edit: Look at that ugly ass black girl with the big eyes.....",1,omg dumbass protester preventing cop job whining really really hate people protest like edit look ugly as black girl big eye,omg dumbass protest prevent cop job whine realli realli hate peopl protest like edit look ugli as black girl big eye,original
"A true dictatorship ! Let's wait and check which of the coutries will start sanctioning on U.S government? I guess none of countries, because USA is a corrupted all of countries in the world except Russia and China.",1,true dictatorship let wait verify countries start sanction government guess none country united states corrupt country world except Russia China,true dictatorship let wait check coutri start sanction govern guess none countri usa corrupt countri world except russia china,back_translation
"THIS ARAB PIECE OF SHIT,,, ACTING LIKE HE GETS HARRASSED,, HE OR HIS PARENTS OWN A STORE AND YET HE ACTS LIKE HE GETS TREATED LIKE BLACK PEOPLE LOL... the same people who steals from his store,, what a moron piece of shit",1,arab piece shit acting like get harrassed parent store yet act like get treated like black people lol people steal store moron piece shit,arab piec shit act like get harrass parent store yet act like get treat like black peopl lol peopl steal store moron piec shit,original
y'all racists as fuck. god please bless america,1,yall racist fuck god please bless america,yall racist fuck god pleas bless america,original
Somebody pick up a gun and kill a cop already LA style ,1,Someone picks a gun and kills a police officer who already has style.,somebodi pick gun kill cop alreadi style,back_translation
Ireland v England Riots 1995 (HQ),0,ireland england riot,ireland england riot,original
This is sad. Disgrace to all black people,1,sad disgrace black people,sad disgrac black peopl,original
don't let the Elite's divide and conquer tactics work on you!!! they want to keep us racially divided so we can never rise up against them ,1,dont let elite divide conquer tactic work want keep racially divided never rise,dont let elit divid conquer tactic work want keep racial divid never rise,original
Tell them they are breaking the law by blocking an interstate and traffic will be let through. If you get hit by vehicles after being told to leave not only will the drivers of the vehicles noy be charged but any injuries incurred will be billed to the retards standing in the street.,1,tell breaking law blocking interstate traffic let get hit vehicle told leave driver vehicle noy charged injury incurred billed retard standing street,tell break law block interst traffic let get hit vehicl told leav driver vehicl noy charg injuri incur bill retard stand street,original
"Remember..Michael Brown was just a young, teen boy, who happened to be built like a linerbacker and robbed a convenience store..he was a pillar to his community.

http://www.liveleak.com/view?i=464_1408123040",0,remembermichael brown young teen boy happened built like linerbacker robbed convenience storehe pillar community,remembermichael brown young teen boy happen built like linerback rob conveni storeh pillar commun,original
Welcome to New World Order.,1,welcome new world order,welcom new world order,original
"Masri is a total idiot ""I don't have to know the evidence, I can just come to my own conclusions instead""
Here is a clue, dont attack a cop and try to take his gun and then rush him after he finally gets out of his car and you wont get shot duhhh.
So what would Masri do, take Brown out for a icecream as he is beating him into the ground and not defend himself?
BTW, Browns momma and gramma violently assaulted some people who were selling T-shirts in memory of Brown and put two people in the hospital, stole their money and trashed their shop and will probably be charged for it, so we all know what sort of mentality Brown was raised in and he was a thug wanna be, who caused his own death.",1,masri total idiot dont know evidence come conclusion instead clue dont attack cop try take gun rush finally get car wont get shot duhhh would masri take brown icecream beating ground defend btw brown momma gramma violently assaulted people selling tshirts memory brown put two people hospital stole money trashed shop probably charged know sort mentality brown raised thug wanna caused death,masri total idiot dont know evid come conclus instead clue dont attack cop tri take gun rush final get car wont get shot duhhh would masri take brown icecream beat ground defend btw brown momma gramma violent assault peopl sell tshirt memori brown put two peopl hospit stole money trash shop probabl charg know sort mental brown rais thug wanna caus death,original
Racial profiling and police intimidation? He robbed a store and got killed as a result. Fucking excuses man. Black people shouldn't have to get arrested when they commit a strong arm robbery. When black people get violent they shouldn't have to fear getting put down like an animal. He actually said we shouldn't have to worry about warrants. lol. Fucking piece of human garbage.,1,racial profiling police intimidation robbed store got killed result fucking excuse man black people shouldnt get arrested commit strong arm robbery black people get violent shouldnt fear getting put like animal actually said shouldnt worry warrant lol fucking piece human garbage,racial profil polic intimid rob store got kill result fuck excus man black peopl shouldnt get arrest commit strong arm robberi black peopl get violent shouldnt fear get put like anim actual said shouldnt worri warrant lol fuck piec human garbag,original
"+Stefan Molyneux 	 	 	 	
Why do you hate Blacks so much? Actually I am not surprised, it's the bloody British in you. You people conquered us, when we did absolutely nothing to you. The more freedom we gain as the decades go on, the more you hate us.

If you weren't so pale, one would wonder if your mother was a Black woman.",1,stefan molyneux hate black much actually surprised bloody british people conquered absolutely nothing freedom gain decade hate werent pale one would wonder mother black woman,stefan molyneux hate black much actual surpris bloodi british peopl conquer absolut noth freedom gain decad hate werent pale one would wonder mother black woman,original
"Dear Mr. Stephen Molyneux, 40 minutes is a bit long, but you are 100% right! You respond only after all facts are in . BTW, I voted the thumb up and the number (5729 )did not even blink. ( I have tried the thumb down and must say the same thing happened = to be fair.....)  Thank you for your homework and your hard work. Obviously you spent a lot of time to present this case to us. Very nice of you. Obviously you care very much about your country.  All the best !",0,dear stephen molyneux minute bit long right respond fact btw voted thumb number even blink tried thumb must say thing happened fair thank homework hard work obviously spent lot time present case nice obviously care much country best,dear stephen molyneux minut bit long right respond fact btw vote thumb number even blink tri thumb must say thing happen fair thank homework hard work obvious spent lot time present case nice obvious care much countri best,original
This jerk just made up a b.s. story about skittles and Arizona ice tea being components of lean. Which is actual  promethazine a pharmaceutical drug and a easy on to get on the street level. This guy is a quake and for you antebellum period dreamers for negro should live beneath you need to realize that your really not much better off. Statistics would say that there more whites on well fair and more whites committ more violent crimes than anyone. So pls come with more white savior b.s.,0,jerk made story skittle arizona ice tea component lean actual promethazine pharmaceutical drug easy get street level guy quake antebellum period dreamer negro live beneath need realize really much better statistic would say white well fair white committ violent crime anyone pls come white savior,jerk made stori skittl arizona ice tea compon lean actual promethazin pharmaceut drug easi get street level guy quak antebellum period dreamer negro live beneath need realiz realli much better statist would say white well fair white committ violent crime anyon pl come white savior,original
"It's taken you 40 minutes to deduce what most reasoned people did within a minute of hearing the story break.

...but thank you anyway.",0,taken minute deduce reasoned people within minute hearing story break thank anyway,taken minut deduc reason peopl within minut hear stori break thank anyway,original
"I think my chief problem with Molyneux is that he has great ideals and solid, worthwhile goals that he hopes to share with society, but can't seem to embrace the ethical grey-ness of human beings. He frustrates me with his ""all or nothing"" approach to morality, and as such I don't believe he is worth listening to as a political strategist (which requires recognizing the conditional-nature of human psychology and constructing systemic guides to help incentivize positive culture). Good philosophy, crappy political theory.",0,think chief problem molyneux great ideal solid worthwhile goal hope share society cant seem embrace ethical greyness human being frustrates nothing approach morality dont believe worth listening political strategist requires recognizing conditionalnature human psychology constructing systemic guide help incentivize positive culture good philosophy crappy political theory,think chief problem molyneux great ideal solid worthwhil goal hope share societi cant seem embrac ethic grey human be frustrat noth approach moral dont believ worth listen polit strategist requir recogn conditionalnatur human psycholog construct system guid help incentiv posit cultur good philosophi crappi polit theori,original
They should all be shot. I would have ran all of them over.,1,shot would ran,shot would ran,original
"you are  clearly a racists shrill a canadian vegatable ,a plant that lives in a box of ivory snow and truly knows nothing about  the Negro race.    ",1,clearly racist shrill canadian vegatable plant life box ivory snow truly know nothing negro race,clearli racist shrill canadian vegat plant life box ivori snow truli know noth negro race,original
"Very moving, very thought out!!!",0,moving thought,move thought,original
"My thought of this ""waste of skin' catching his just  desert at 3300fps wouldn't make me a popular guy with  the ""no free people allowed"" party. But I don't live on the bookends of this country. The rest of you libshits' would do yourselves justice to know the MAJORITY of Real Americans despise you in every way. Know It and own it. Every day you continue to exist is because ying must have yang motherjumper!",1,thought waste skin capture desert fps wouldn't popular free guy people allowed party not alive bookends country rest libshits would do justice know majority real american despise every sense know every day continue to exist ying must yang motherjumper,thought wast skin catch desert fp wouldnt make popular guy free peopl allow parti dont live bookend countri rest libshit would justic know major real american despis everi way know everi day continu exist ying must yang motherjump,back_translation
Idiotz,1,idiot,idiotz,back_translation
"Yea! We should beat up all white people, rob black owned stores, and cause massive riots wasting money! I bet 90% of yall don't work, stop wasting people money and just off yourself....I hope every single person their got shot...that didn't happen though, sadly.",1,yea beat white people rob black owned store cause massive riot wasting money bet yall dont work stop wasting people money yourselfi hope every single person got shotthat didnt happen though sadly,yea beat white peopl rob black own store caus massiv riot wast money bet yall dont work stop wast peopl money yourselfi hope everi singl person got shotthat didnt happen though sadli,original
The fuck are thes cops being a pussy?,1,fuck thes cop pussy,fuck the cop pussi,original
"Yeah of course he goes to college, and then when the money comes in from Pel the majority of Negros drop out half way through the semester.",0,yeah course go college money come pel majority negro drop half way semester,yeah cours go colleg money come pel major negro drop half way semest,original
"why was police car so far away from body, officer realy good shot, after being assaulted...............this is BS, wake up, if you believe this. you are deluded.  he starts of vid by pointing out how media portrayed ''gentle giant'' then goes on to use similar tactic to discredit MB, refs to pot and making rap music. if the guy making this vid was my dad , i would leave town for ever",0,police car far away body officer realy good shot assaultedthis wake believe deluded start vid pointing medium portrayed gentle giant go use similar tactic discredit ref pot making rap music guy making vid dad would leave town ever,polic car far away bodi offic reali good shot assaultedthi wake believ delud start vid point medium portray gentl giant go use similar tactic discredit ref pot make rap music guy make vid dad would leav town ever,original
