Text,IsToxic,text_clean
"moral of the story, don't reach for a cops gun because you're probably gunna get shot, white or black",0,moral story dont reach cop gun youre probably gunna get shot white black
Masri is about as close as you can get to ISIS in America.  ,1,masri close get isi america
We all know with the chimpers there is no compassion in their mud pumping hearts. ,1,know chimpers compassion mud pumping heart
"""I can believe whatever I wanna believe, I don't care what any of them have to say.""
Bassem Masri, you are an idiot.",1,believe whatever wanna believe dont care say bassem masri idiot
Bassem Masri is a terrorist part of isis,1,bassem masri terrorist part isi
I would'nt waist my time trying to reason with this Police spitting Thug.  Trying to defend Criminal Brown is a losing matter.  The Grand Jury has made they're decision.   Live with it.,1,wouldnt waist time trying reason police spitting thug trying defend criminal brown losing matter grand jury made theyre decision live
"I wish mr masri was dead,,",1,wish masri dead
"Thus, with a collapse of the USA, only two possibilities can be considered, whereby, with the one, it boils down to a dictatorship with evil reprisals, while the other possibility may be a new reconstruction, if people who are fundamentally conscious of their responsibilities attain government and really do everything to bring about an effective and valuable new start. But whether this will actually occur, is currently extremely questionable, because presently, in a totalitarian manner, everything is directed towards interests which are economic, military, political and cultural – as well as towards that which is strict fundamentalist religious-sectarian – and based on enormous lies and devious, misanthropic, criminal and felonious machinations in every imaginable regard. This also means that the population of the USA is spied upon by the secret services and even severely within the neighbourhoods, and so forth, and, in every possible manner being restricted in its freedom, and this is in addition to the violence, as it emerges in some form or other, both openly and covertly.﻿",0,thus collapse usa two possibility considered whereby one boil dictatorship evil reprisal possibility may new reconstruction people fundamentally conscious responsibility attain government really everything bring effective valuable new start whether actually occur currently extremely questionable presently totalitarian manner everything directed towards interest economic military political cultural well towards strict fundamentalist religioussectarian based enormous lie devious misanthropic criminal felonious machination every imaginable regard also mean population usa spied upon secret service even severely within neighbourhood forth every possible manner restricted freedom addition violence emerges form openly covertly
"You actually CAN shout ""fire"" in a crowded theater. Christopher Hitchens demonstrated this in his talk about ""free speech."" Look it up. The interviewee is correct. Cops serve the public, not the other way around. And it is consistent with serving that public that the police department represent that public's race and ethnicity in its ranks. Hire a bunch of big, tough, black guys to the police department and you will have fewer blacks being shot to death by a puny white guy who felt humiliated when he got bitch slapped by a teenager. ",1,actually shout fire crowded theater christopher hitchens demonstrated talk free speech look interviewee correct cop serve public way around consistent serving public police department represent public race ethnicity rank hire bunch big tough black guy police department fewer black shot death puny white guy felt humiliated got bitch slapped teenager
"I think ,he kill him",1,think kill
LEGALIZE MARIJUANA! Then problems will stop,0,legalize marijuana problem stop
1 word: Provocateur........,0,word provocateur
Lol. This is what happens when the greedy rich slime keep the masses uneducated & ignorant. Now deal with the stupid that you created. Trying to reason with the irrational is an exercise in futility. Get the popcorn ready bc it's about to boil over. If you fall for the talk you will fall just walking. ,1,lol happens greedy rich slime keep mass uneducated ignorant deal stupid created trying reason irrational exercise futility get popcorn ready boil fall talk fall walking
"The legal system is inherently racist, same as this CNN reporter",1,legal system inherently racist cnn reporter
He looks ready to cut heads off he must be a isis sympathizer and I'm going to say maybe 5% care about the issue at hand and other 95% just want to go loot stores and fuck shit up...,1,look ready cut head must isi sympathizer going say maybe care issue hand want loot store fuck shit
"lol, ""shoot to apprehend"". He is an idiot.",1,lol shoot apprehend idiot
"This case has overshadowed the cops that murdered a kid with a fake sword in Saratoga Springs, Utah. I am just as much outraged by the Mike brown case. The murder that happened in Utah was just about the same deal. Cops are provided with non lethal weapons. The shooting in Utah unwarranted because he ran, don't know why he ran but if you lunged at the police with the fake sword you should have taken that opportunity for immediate action right then. He ran and was shot 6 times in the back. We know a large group of cops are corrupt and these murderers are nothing new. Though I have ran from the police many times when I was in my teens, cops just pursue and find him hiding some where. Not just put 6 bullets in the back ending a life. They said in some paper, Saratoga Springs has about 5% of black population.. I have been through there and I would say they were off by about 5%. ",0,case overshadowed cop murdered kid fake sword saratoga spring utah much outraged mike brown case murder happened utah deal cop provided non lethal weapon shooting utah unwarranted ran dont know ran lunged police fake sword taken opportunity immediate action right ran shot time back know large group cop corrupt murderer nothing new though ran police many time teen cop pursue find hiding put bullet back ending life said paper saratoga spring black population would say
This man is a zionist jew look at ypu can see the jewnesss in his face  cnn only employ zionist sympathisers and neo-con racists and wolf blitzer is the emplpyeee ,1,man zionist jew look ypu see jewnesss face cnn employ zionist sympathiser neocon racist wolf blitzer emplpyeee
"""There is blood on the street but you are worried about words"" .... we are ALL getting very tired with the way mainstream media is treating us like idiots who will follow their condescending, irrelevant, distracting, disparaging narrative... Step up CNN",0,blood street worried word getting tired way mainstream medium treating like idiot follow condescending irrelevant distracting disparaging narrative step cnn
"stop being criminals and you wont get shot, that simple",1,stop criminal wont get shot simple
I LIKE TURTLES!,0,like turtle
Massri needs an education.,1,massri need education
CNN mother fuckers....fuck you peace of shit!,1,cnn mother fuckersfuck peace shit
"Hers my statement, I think ali sheep butt fucker masri should take an ak and go fight in syria..",1,statement think ali sheep butt fucker masri take fight syria
Hahahahaha.  This guy is Ed Bassmaster's character ALWAYS TESTE. Ed Bassmaster has a semi-retarded character who is cross-eyed just like this guy,1,hahahahaha guy bassmasters character always teste bassmaster semiretarded character crosseyed like guy
How do these childish cops sleep at night ?,0,childish cop sleep night
A completely idiot having his minutrs of fame,1,completely idiot minutrs fame
I hope to god you guys is still not falling for the same ol banana in the tailpipe bullshit news that they're giving you,1,hope god guy still falling banana tailpipe bullshit news theyre giving
CNN is such Bullcrap!,1,cnn bullcrap
"Alright. This entire case is crap. All of these people who are saying that white people are being racist, and calling them bad names is just as ""racist"", as you would like to call it, as us. There have been extensive investigations that prove that this boy's death was out of self defense. However, I am not defending the whole KKK thing. But, I am defending the helpless citizens of Ferguson. This boy died. I don't care if he was white or black. What I do care about is how the people in Ferguson are treating their town. If they really cared about this incident, they would hold memorials to express their feelings.This is not helping themselves get justice. What really matters is that this boy is dead. Something HAS been done about it. The Grand Jury has decided. Can it just be over?",0,alright entire case crap people saying white people racist calling bad name racist would like call extensive investigation prove boy death self defense however defending whole kkk thing defending helpless citizen ferguson boy died dont care white black care people ferguson treating town really cared incident would hold memorial express feelingsthis helping get justice really matter boy dead something done grand jury decided
This guy doesn't know what happened he didn't have his hands up,0,guy doesnt know happened didnt hand
Ayy CNN are lookin like pussies ,1,ayy cnn lookin like pussy
Smirconnish is the most even-handed guy in the world.  This guy Masri is an idiot.,1,smirconnish evenhanded guy world guy masri idiot
"Masri is a total idiot ""I don't have to know the evidence, I can just come to my own conclusions instead""
Here is a clue, dont attack a cop and try to take his gun and then rush him after he finally gets out of his car and you wont get shot duhhh.
So what would Masri do, take Brown out for a icecream as he is beating him into the ground and not defend himself?
BTW, Browns momma and gramma violently assaulted some people who were selling T-shirts in memory of Brown and put two people in the hospital, stole their money and trashed their shop and will probably be charged for it, so we all know what sort of mentality Brown was raised in and he was a thug wanna be, who caused his own death.",1,masri total idiot dont know evidence come conclusion instead clue dont attack cop try take gun rush finally get car wont get shot duhhh would masri take brown icecream beating ground defend btw brown momma gramma violently assaulted people selling tshirts memory brown put two people hospital stole money trashed shop probably charged know sort mentality brown raised thug wanna caused death
He had to take a break because Bassem was making too much sense for him to debate further. ,0,take break bassem making much sense debate
"Let's reverse the rolls! Black racist cops in rich white communities.(but you can't prove there racist) When a white man gets pissed off at this intolerable condition. We unload several clips of high caliber ammo at point blank range for his audacity at questioning authority. All Americans need to be on full alert of this elitist agenda to set presidents of questioning authority. The elitist upper-class is the problem. Prison culture CIA drug Cartels. Exporting jobs and importing cheap labor, While the elitist get bailed out and support this corrupt system. We can turn this around when we c get past the race issue the Govt. incites to divide the working class, but you can hardly call it a working class because the Govt put everyone out of work. We are more of a homeless class. Let us not for get Western history and the role big money plays in this clusterfuck designed to destroy a Nation that is Destroyed at this point. We can get it back, ask me how.",1,let reverse roll black racist cop rich white communitiesbut cant prove racist white man get pissed intolerable condition unload several clip high caliber ammo point blank range audacity questioning authority american need full alert elitist agenda set president questioning authority elitist upperclass problem prison culture cia drug cartel exporting job importing cheap labor elitist get bailed support corrupt system turn around get past race issue govt incites divide working class hardly call working class govt put everyone work homeless class let get western history role big money play clusterfuck designed destroy nation destroyed point get back ask
This moron is talking about being peaceful?  Their burning the nation's flag idiot.  Even though that's what you are suppose to do when it's old so they have no knowledge.  They are babies making noise. ,1,moron talking peaceful burning nation flag idiot even though thats suppose old knowledge baby making noise
" This is a CIA agent provocateur operative to kick-start the riots of the New American Civil War. He's not African American but his rehearsed ""Ebonics"" is transparent.",0,cia agent provocateur operative kickstart riot new american civil war he african american rehearsed ebonics transparent
Can someone shoot this black idiot too? That would make me giggle inside :),1,someone shoot black idiot would make giggle inside
You people are sick! This man is speaking the truth and y'all are just mad. Trying to justify why a young boy who did nothing was shot and killed smh. Y'all are the devil and a disease to this earth! I'll be glad when the sun burns all your asses into extinction and we can have our planet back! Half animal half devil cave beasts!!! ,1,people sick man speaking truth yall mad trying justify young boy nothing shot killed smh yall devil disease earth ill glad sun burn ass extinction planet back half animal half devil cave beast
The world is changing im mad at the police too but id be dam if isis gonna come in here thats when its time to kill these faucks,1,world changing mad police dam isi gonna come thats time kill faucks
"CNN is propaganda for the most part, and people let them hear it in Ferguson too.",0,cnn propaganda part people let hear ferguson
"What a waste of time talking to that idiot. ""You know what Im sayin."" ""I'll believe what I want to believe.""- Yup- hell with facts or evidence. Loser.",1,waste time talking idiot know sayin ill believe want believe yup hell fact evidence loser
"News fucktards...........puppet players,,,,,all they are paid liars ",1,news fucktardspuppet playersall paid liar
Bassem has the right to express himself....we have freedom of expression.....We all have that right....Its an amendment of the Constitution.....I dont think CNN is that competent after all.,0,bassem right express himselfwe freedom expressionwe rightits amendment constitutioni dont think cnn competent
"does this guy riot before or after work? Orrrr, let me guess he fucks off all day doing nothing.",1,guy riot work orrrr let guess fuck day nothing
Mr. Masri is 100% right couldn't say it any better myself.,0,masri right couldnt say better
Can anyone tell me why it is racist if a white man shoots a black man? Is it not racist when black man shoots a white man? Why do these cases turn instantly into racist ones it makes no sense.,0,anyone tell racist white man shoot black man racist black man shoot white man case turn instantly racist one make sense
Racial profiling and police intimidation? He robbed a store and got killed as a result. Fucking excuses man. Black people shouldn't have to get arrested when they commit a strong arm robbery. When black people get violent they shouldn't have to fear getting put down like an animal. He actually said we shouldn't have to worry about warrants. lol. Fucking piece of human garbage.,1,racial profiling police intimidation robbed store got killed result fucking excuse man black people shouldnt get arrested commit strong arm robbery black people get violent shouldnt fear getting put like animal actually said shouldnt worry warrant lol fucking piece human garbage
Wrong Mother Fucker. No shoot to apprehend,1,wrong mother fucker shoot apprehend
"Black and white crimes seems to be big topic in us after Ferguson case. I just came here to brag about Finnish cops that used firearm 6 times last year, 2 time towards human, 2 times to warn 2 times to kill wounded animal. 5 million ppl here and 0,5 gun per capita.",0,black white crime seems big topic ferguson case came brag finnish cop used firearm time last year time towards human time warn time kill wounded animal million ppl gun per caput
"and the heading reads, When the protesters take it too far",0,heading read protester take far
This Muslim man does not have anything in mind of peace. He wants to stir up dissonance and trouble among Americans by using racist accusations . THAT IS HIS MAN GOAL.,1,muslim man anything mind peace want stir dissonance trouble among american using racist accusation man goal
"Add another imbecile to the bunch, reporter is a incompetent bastard",1,add another imbecile bunch reporter incompetent bastard
This interviewer is right. This guy should show some respect to the paramilitary police that are killing and getting away with it. Ha!,1,interviewer right guy show respect paramilitary police killing getting away
You all are some dumb as people,1,dumb people
bassem I think walmart is hiring for the holidays. get a job loser!!!,1,bassem think walmart hiring holiday get job loser
Teen faces life in prison for pot brownies. 90 year old man gets arrested for feeding the poor. Police officer is set free with no charges whatsoever for killing a teenager. Don't you people see how wrong this is? ,0,teen face life prison pot brownie year old man get arrested feeding poor police officer set free charge whatsoever killing teenager dont people see wrong
"""you know what I'm sayin""... wow",0,know sayin wow
"YEah  You are right 1 white shot a  black all hell break  lose , black shot black no protest maybe if they start doing  protest on black shotting black , you can buy in thier story ,",1,yeah right white shot black hell break lose black shot black protest maybe start protest black shotting black buy thier story
"Lets Steal from a convenience store then lets go and punch a cop in the face and get shot 6 times, then lets get all the black people and white apologists to run around the street setting buildings on fire, fucking dirty gutter rats all living on welfare and causing violence , just look where the rest of black people live... on the dirties Ebola plague ridden continent, lucky white countries can come over and cure their dumb asses.",1,let steal convenience store let punch cop face get shot time let get black people white apologist run around street setting building fire fucking dirty gutter rat living welfare causing violence look rest black people live dirties ebola plague ridden continent lucky white country come cure dumb ass
I'm with this dude fuck the punk police ,1,dude fuck punk police
What a stupid arab. Police shoot to apprehend? Lmao That's not how it works when they are being attacked!,1,stupid arab police shoot apprehend lmao thats work attacked
5:09 plain n simple truth,0,plain simple truth
Lmfao why is this dude taking like that??? -_\ I hear him talking but I don't know what he's saying!  Smh,0,lmfao dude taking like hear talking dont know he saying smh
"I do understand their anger, but war is not the answer!",0,understand anger war answer
Iz didn't do nuffinz!,0,didnt nuffinz
"What an ignorant coward, full of emotion, estrogen and apathy. And where the hell did you come from? Fuckin racially ambiguous blackwashed loudmouth. They really chose a pathetic man to interview. ",1,ignorant coward full emotion estrogen apathy hell come fuckin racially ambiguous blackwashed loudmouth really chose pathetic man interview
"That motherfucker was angry,and I understand why",1,motherfucker angryand understand
Let's get this straight and present the facts as the mass media should have from the beginning. 18 yr old (by all legal aspects an adult) robs a convince store. The criminal later flees the seen and is aprehended by the police. Resists arrest and altercation occurs between the two. The police (as in every case similar to this uses force). Criminal is killed. The killing goes to court. A randomly selected jury views all the evidence and hears out all witnesses which pertain to the case.  Radom jury reaches unanimous verdict of not guilty. Im sorry protestors I can't here over all this DEMOCRACY!,1,let get straight present fact mass medium beginning old legal aspect adult robs convince store criminal later flees seen aprehended police resists arrest altercation occurs two police every case similar us force criminal killed killing go court randomly selected jury view evidence hears witness pertain case radom jury reach unanimous verdict guilty sorry protestors cant democracy
Do any of these protestors work for a living??  where do they get the (time) to do all this....,0,protestors work living get time
"If people would obey the law, like normal human beings. This would never happen. <- WINNER",0,people would obey law like normal human being would never happen winner
No indictment...moving right along.,0,indictmentmoving right along
If you act like animals you get treated like animals,1,act like animal get treated like animal
 Michael Smerconish + Hack. ,0,michael smerconish hack
"Sure...they totally looked at FACTUAL evidence during that trial...

More like special treatment. BUT HEY, we all knew that was going to happen, didn't we?",1,surethey totally looked factual evidence trial like special treatment hey knew going happen didnt
You tellin me if he did in fact steal swisher sweets is the value of his life...Just admit you all are racist quit being a bunch of FAGGOTT bitches ,1,tellin fact steal swisher sweet value lifejust admit racist quit bunch faggott bitch
"Proof Blacks aren't victims:
1. Statistically Cops kill more whites than blacks, yet whites see them as necessary because they save more lives than they cost, while places like Ferguson lose their minds.
2. Statistically 93% of murdered blacks are killed by other blacks, with whites consisting of 3% of the murderers and 4% being the other races.
3. Whites were enslaved by blacks first, and for over 150 years. This was when Europeans(the same race that started America and later enslaved Africans) began searching North Africa to establish trade of goods between natives. From the 1520s to the late 1600s whites were enslaved first. Later the tables turned. This boys and girls is called 'Karma.'
4. Statistically over 50% of murders in the US alone are from Blacks, despite them making up only 14.1% of the entire US population, while despite whites make up 63% of the US population they only make up 46% of the murders.
5. Whites make up 38% of welfare recipients with blacks making up 39%. This doesn't seem extreme until you realize that 39%(blacks) consists of that 14.1%, whith that 38%(whites) making up 63% of the US. Meaning each individual black person is about 5 times as likely than whites to use welfare.",1,proof black arent victim statistically cop kill white black yet white see necessary save life cost place like ferguson lose mind statistically murdered black killed black white consisting murderer race white enslaved black first year europeansthe race started america later enslaved african began searching north africa establish trade good native late white enslaved first later table turned boy girl called karma statistically murder alone black despite making entire population despite white make population make murder white make welfare recipient black making doesnt seem extreme realize black consists whith white making meaning individual black person time likely white use welfare
"White man can't finish his sentence
America needs to wake up!!the truth of murder is there!",1,white man cant finish sentence america need wake upthe truth murder
I'll be sure to avoid getting in this guy's taxi cab.,0,ill sure avoid getting guy taxi cab
"FUCK MEDIA 
Bassem was right find something real to investigate. You're just exaggerating because you want more views and more MONEY.

FUCK YOU SELFISH FUCKS

These people are DISGUSTING. I don't know how they bare with their NASTY selves.",1,fuck medium bassem right find something real investigate youre exaggerating want view money fuck selfish fuck people disgusting dont know bare nasty self
CNN youse guys going too far I'll tell you what you doing so that bad is going to happen very bad it's all going to benefit you I don't care how much money you have Ellen and better for you to be like all the rest was be careful what you put out there you put Russia in between this be careful we have kids,0,cnn youse guy going far ill tell bad going happen bad going benefit dont care much money ellen better like rest careful put put russia careful kid
this guy here he needs to grow up.,0,guy need grow
"Shoot to apprehend? Easier said than done.. When the evidence was presented, Michael brown was still attackin darren after he was shot twice.... People have this misconception, like in the movies, that one gun shot anywhere to the body, will disable an attacker. This is a false belief.. There are cases of people still attacking or running after they've been shot 2-3 times. For god sake, 50 cent was shot 9 times and he's alive... When you're being attacked by a 6 ft 3 200 somthing pound person, and you're on your back, it's hard to say I""m just goin to shoot to apprehend. Had michael brown copnducted himself like a gentleman, this wouldn't have happened. He was an aggresive piece of shit, and this muslim shit head isn't any better. He's filled with rage and doesn't have the answer for anything. Progression comes from tolerance not violence.",1,shoot apprehend easier said done evidence presented michael brown still attackin darren shot twice people misconception like movie one gun shot anywhere body disable attacker false belief case people still attacking running theyve shot time god sake cent shot time he alive youre attacked somthing pound person youre back hard say goin shoot apprehend michael brown copnducted like gentleman wouldnt happened aggresive piece shit muslim shit head isnt better he filled rage doesnt answer anything progression come tolerance violence
"It's not about just Brown, it's about daily killings of non-whites by white cops and that's a reality.",0,brown daily killing nonwhites white cop thats reality
"How was this guy hired?
What an idiot",1,guy hired idiot
This guy is a moron.,1,guy moron
Cnn...so out of touch..close up idiots.. people are watching for the comedy of reporting.lol,1,cnnso touchclose idiot people watching comedy reportinglol
"Bassem Masri is a criminal, a thug and a psychopath. He has no credibility, and no humanity. He needs to be locked in a jail cell. Time for the rubber-room and straight-jacket for Bassem. Get his intellectually dishonest butt out of the community. ",1,bassem masri criminal thug psychopath credibility humanity need locked jail cell time rubberroom straightjacket bassem get intellectually dishonest butt community
CNN this is why you are a joke!,1,cnn joke
I wonder what the police expect will happen when they continually abuse and kill people  ? Do they honestly expect the public  to do nothing about it ? To just lay back and take it and let the cops just turn into one massive street gang who are allowed to kill without consequence? Even a rat when it's cornered will defend itself ..,1,wonder police expect happen continually abuse kill people honestly expect public nothing lay back take let cop turn one massive street gang allowed kill without consequence even rat cornered defend
"""I don't want my sons death to be in vain."" ""LET'S BURN THIS BITCH DOWN!"" Stupid fucks destroying livelihoods. Peaceful protests my fucking ass.",1,dont want son death vain let burn bitch stupid fuck destroying livelihood peaceful protest fucking as
This guy is my hero.,0,guy hero
"Did he say that the sound of him spitting is an ""Arab expression""?",0,say sound spitting arab expression
Wow!!!,0,wow
I think that this indecent is unessacerry for the event of one person being shot. Mr. Brown stole something so it wasn't intirely the police officers fault.,0,think indecent unessacerry event one person shot brown stole something wasnt intirely police officer fault
"This is a genuine failure of leadership by the President of the United States.  This nice town, Ferguson, should have been declared a state of emergency. It should have been put under martial law, federal troops should have stuffed the town, and non-residents should have been pushed out.  Everyone knew there was going to be another riot.  But...what did the President do?  He didn't want to offend the black community. He didn't want anyone else to get shot.  So he just let 'er burn baby burn.  Seems to me, that a real leader could have had it both ways.  Mr. President, sir, you have failed reprehensibly - and I do accuse you.﻿",1,genuine failure leadership president united state nice town ferguson declared state emergency put martial law federal troop stuffed town nonresident pushed everyone knew going another riot butwhat president didnt want offend black community didnt want anyone else get shot let burn baby burn seems real leader could way president sir failed reprehensibly accuse
"anyone know if they are irradiating commercial strawberry seeds, mine wont germinate ?",0,anyone know irradiating commercial strawberry seed mine wont germinate
Arabs Hate black people. This ISIS sympathizer just wants to call it his community. Nonsense.,1,arab hate black people isi sympathizer want call community nonsense
I can't for the life of me understand why people think that Mike Brown was a martyr for some cause. The man was a criminal. Are all black people criminals? Absolutely not. Are there white criminals? Hispanic criminals? You betcha. If the situation was EXACTLY the same but the races were reversed there would not be an issue at all.,1,cant life understand people think mike brown martyr cause man criminal black people criminal absolutely white criminal hispanic criminal betcha situation exactly race reversed would issue
Well done 👍,0,well done
"Old mans way has been tried forever and how well did that worked,  look where we are now. ",0,old man way tried forever well worked look
"3:44
U no wat im sayin",0,wat sayin
Without that badge they a bitch and a half. So fuck the police!!,1,without badge bitch half fuck police
"THIS ARAB PIECE OF SHIT,,, ACTING LIKE HE GETS HARRASSED,, HE OR HIS PARENTS OWN A STORE AND YET HE ACTS LIKE HE GETS TREATED LIKE BLACK PEOPLE LOL... the same people who steals from his store,, what a moron piece of shit",1,arab piece shit acting like get harrassed parent store yet act like get treated like black people lol people steal store moron piece shit
"It's people like this guy that makes America shake it's head.

Nawamsain'?

No the fuck we don't.",0,people like guy make america shake head nawamsain fuck dont
"Police brutality affects everyone.  It's not just a black issue, and when they made it a ""black"" issue that's when people who aren't black tend to stop listening.  End racial profiling as if police don't fuck with everyone?  Police don't care WHAT color you are, if you aren't  a policeman they will fuck with you.  If you look on youtube you will notice the brutality doesn't discriminate.  

So stop it with this racial bullshit, because if you want cops to finally be held accountable for their powertripping actions, you need to realize that playing the whole ""because I'm black, and only black, and black"" card, makes people who aren't black feel less sympathetic because every race here has had issues with them.",1,police brutality affect everyone black issue made black issue thats people arent black tend stop listening end racial profiling police dont fuck everyone police dont care color arent policeman fuck look youtube notice brutality doesnt discriminate stop racial bullshit want cop finally held accountable powertripping action need realize playing whole black black black card make people arent black feel less sympathetic every race issue
CHRISTIANS ROCK!,0,christian rock
The only good CNN anchor I have ever seen...,0,good cnn anchor ever seen
Islamic Terrorist insighting hatred and violence under the disguise of an african citizen its time that american citizens realise their true enemy is islam and not black or white people,1,islamic terrorist insighting hatred violence disguise african citizen time american citizen realise true enemy islam black white people
Fuck CNN you corrupt demon worshiping fools,1,fuck cnn corrupt demon worshiping fool
This guy is a dumbass. He claims that policed hired thugs took his phone and shot off rounds without any evidence to back his claims.,1,guy dumbass claim policed hired thug took phone shot round without evidence back claim
"Mike browns father does NOT buy into it....he got caught on video saying ""Burn the bitch down"" reffering to Ferguson................and this dude you are interviwing is just a thug and should not be given air time.............",1,mike brown father buy ithe got caught video saying burn bitch reffering fergusonand dude interviwing thug given air time
"Brown isused as an excuse to loot take peoples shit and destroy neighborhoods , haaaa typical ghetto bullshit. Ya ain't even hood, ya just ghetto bitches collecting free rent from the govt while fighting the govt. same occupy Wall Street fagets have nothing else to do , go clean the highways !!!!!",1,brown isused excuse loot take people shit destroy neighborhood haaaa typical ghetto bullshit aint even hood ghetto bitch collecting free rent govt fighting govt occupy wall street fagets nothing else clean highway
WTF!! Isn't this the guy who got mugged for his iphone 6 in ferguson?? That video was hilarious!!,0,wtf isnt guy got mugged iphone ferguson video hilarious
